NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
1,Brasil,2,%,1169.15,1,Brasil,198908,agosto 1989,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,1269.82,1,Brasil,198909,setembro 1989,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,1424.12,1,Brasil,198910,outubro 1989,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,1660.95,1,Brasil,198911,novembro 1989,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,1972.91,1,Brasil,198912,dezembro 1989,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,2426.12,1,Brasil,199001,janeiro 1990,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,3701.29,1,Brasil,199002,fevereiro 1990,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,6390.53,1,Brasil,199003,março 1990,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,6821.31,1,Brasil,199004,abril 1990,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,6214.99,1,Brasil,199005,maio 1990,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,5385.43,1,Brasil,199006,junho 1990,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,4749.03,1,Brasil,199007,julho 1990,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,3993.62,1,Brasil,199008,agosto 1990,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,3304.71,1,Brasil,199009,setembro 1990,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,2685.74,1,Brasil,199010,outubro 1990,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,2101.34,1,Brasil,199011,novembro 1990,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,1620.97,1,Brasil,199012,dezembro 1990,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,1140.27,1,Brasil,199101,janeiro 1991,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,752.02,1,Brasil,199102,fevereiro 1991,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,422.84,1,Brasil,199103,março 1991,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,375.18,1,Brasil,199104,abril 1991,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,374.48,1,Brasil,199105,maio 1991,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,372.10,1,Brasil,199106,junho 1991,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,369.96,1,Brasil,199107,julho 1991,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,381.41,1,Brasil,199108,agosto 1991,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,386.55,1,Brasil,199109,setembro 1991,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,411.52,1,Brasil,199110,outubro 1991,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,448.31,1,Brasil,199111,novembro 1991,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,472.70,1,Brasil,199112,dezembro 1991,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,497.32,1,Brasil,199201,janeiro 1992,2265,IPCA - Variação acumulada em 12 meses
